Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1/30/2015,LT,EQ,1723.9,1728.6,1740.8,1683.35,1705,1700.55,1711.57,1521663,2.60444E+14,81643,741882,0.4875
2/2/2015,LT,EQ,1700.55,1696,1739.85,1696,1735,1735.1,1724.51,1417138,2.44386E+14,64092,741054,0.5229
2/3/2015,LT,EQ,1735.1,1742,1749.9,1707.35,1715.5,1722.5,1727.28,1953815,3.37479E+14,77892,1054659,0.5398
2/4/2015,LT,EQ,1722.5,1729.55,1732.2,1682.4,1684.1,1688.4,1707,1230675,2.10076E+14,53134,616978,0.5013
2/5/2015,LT,EQ,1688.4,1690.95,1706,1674.1,1678.5,1682.4,1691.81,1343965,2.27373E+14,51507,550677,0.4097
2/6/2015,LT,EQ,1682.4,1682,1694,1663,1674.3,1683.55,1681.16,1473747,2.4776E+14,69567,741912,0.5034
2/9/2015,LT,EQ,1683.55,1663.3,1669,1550,1558.35,1572.45,1604.93,3559882,5.71335E+14,104199,1428431,0.4013
2/10/2015,LT,EQ,1572.45,1545.1,1611,1532.15,1576.6,1571.7,1571.07,6981365,1.09682E+15,199079,3660351,0.5243
2/11/2015,LT,EQ,1571.7,1587,1623.7,1583.7,1607.4,1612.7,1610.01,3117098,5.01856E+14,103430,1799945,0.5774
2/12/2015,LT,EQ,1612.7,1618,1659,1605.2,1655,1650.05,1626.85,2108189,3.42971E+14,65036,932765,0.4424
2/13/2015,LT,EQ,1650.05,1660,1674,1650,1664,1662.15,1663.57,1575712,2.6213E+14,52830,715568,0.4541
2/16/2015,LT,EQ,1662.15,1665,1678,1640.1,1654.35,1648.45,1654.09,1117688,1.84875E+14,58659,434409,0.3887
2/18/2015,LT,EQ,1648.45,1654.8,1674.9,1654,1663.55,1663.35,1667.06,1458528,2.43145E+14,53438,821750,0.5634
2/19/2015,LT,EQ,1663.35,1668.8,1710,1662.4,1709.5,1698.55,1680.62,1872581,3.14709E+14,61105,676392,0.3612
